01-24-2013 19:36:36,6,1415
02-09-2013 07:51:12,2,4653
03-05-2013 14:57:51,9,240 
03-23-2013 17:16:52,16,1551
04-16-2013 07:54:34,7,5099
04-25-2013 00:15:23,15,1527
05-19-2013 07:11:57,17,2381
06-06-2013 11:07:16,5,4787
06-17-2013 19:52:03,10,5890 
06-21-2013 02:58:45,13,2622
07-19-2013 23:55:25,10,5687
07-29-2013 02:48:36,7,5703
07-11-2013 06:52:24,10,657
08-07-2013 02:36:38,14,4924
08-07-2013 20:00:18,10,3402
10-02-2013 20:34:04,19,3206
10-31-2013 16:29:36,4,1214
11-17-2013 06:12:47,0,2280 
11-19-2013 17:45:29,6,3313
11-27-2013 23:24:59,13,3219
12-13-2013 23:01:20,8,5013   
01-10-2014 22:35:19,5,5996 
02-03-2014 05:12:38,3,5129
02-03-2014 19:58:43,5,5565
02-04-2014 01:28:16,16,1576
02-07-2014 17:51:26,15,1722
02-09-2014 16:06:04,6,5968
02-10-2014 16:48:34,3,447
02-13-2014 22:38:17,17,4012 
02-15-2014 02:31:38,13,1654
02-15-2014 10:16:26,16,960
02-17-2014 10:14:47,8,2617
02-18-2014 22:56:35,7,4059
02-19-2014 08:47:19,13,1545 
02-22-2014 09:50:54,17,5443
02-22-2014 15:02:43,13,5412
02-23-2014 21:23:43,3,731
02-26-2014 12:12:04,0,5768
02-26-2014 22:42:46,3,2257 
03-01-2014 00:13:13,3,6373
03-01-2014 01:53:35,10,5995 
03-02-2014 12:50:14,18,815
03-03-2014 18:38:08,2,5321
03-08-2014 02:00:45,2,6169
03-09-2014 22:50:34,14,6071
03-10-2014 17:10:55,7,2908
03-10-2014 17:43:47,7,4692 
03-10-2014 21:13:36,4,3961
03-13-2014 20:33:30,5,4441 
03-16-2014 17:24:56,17,860
03-17-2014 10:12:32,13,1111
03-19-2014 16:39:03,4,3212
03-20-2014 04:42:19,12,5093
03-23-2014 23:15:35,15,5676
03-25-2014 01:39:12,0,5683
03-25-2014 19:08:44,15,5049 
03-26-2014 08:13:21,13,854
03-28-2014 01:23:51,0,3184 
03-28-2014 09:24:53,14,6492 
03-29-2014 10:15:56,4,1041
03-31-2014 01:36:29,3,2859
04-02-2014 05:00:06,13,3872
04-04-2014 04:12:57,8,4314
04-06-2014 06:31:34,0,4562 
04-07-2014 23:06:00,13,3699 
04-08-2014 16:33:50,9,2107 
